Project Name,Project Type,URL to project,Founded year (project),Industries,Usecases,5 word review,Description (from online)
Quantstamp,Startup,https://quantstamp.com/,2017,Privacy & Security,Privacy & Security Solutions,Smart Contract Security,"Quantstamp is the leader in blockchain security, having performed over 200 audits and secured over $200 billion in value. Our mission is to facilitate the mainstream adoption of blockchain technology through our security and risk assessment services.

Quantstamp services include securing Layer 1 blockchains such as Ethereum 2.0 and Binance Smart Chain, securing smart contract powered NFT and DeFi applications such as Maker and NBA Top Shot, and developing financial primitives for Layer 1 blockchain ecosystems. Enterprise companies and NGOs such as Siemens, Toyota, and World Economic Forum also trust Quantstamp to secure their blockchain implementations.

We secure the assets in your digital nation. 

NFTs
From DeFi collectibles to digital real estate, NFTs are changing how we think about digital ownership. Quantstamp is proud to have secured some of the most valuable projects in the NFT space."
Aztec Network,Startup,https://aztec.network/,2017,Infrastructure,"Privacy & Security Solutions,Scaling Solution",Privacy Protocol rollup,"Aztec’s renowned research team is the force behind PLONK, the lightning-fast standard in zero knowledge technologies. The team has brought multiple R&D breakthroughs to Layer 2 on Ethereum, and has deep experience of deploying complex cryptosystems to Web3."
Tokeny Solutions,Startup,https://tokeny.com/,2017,Capital Markets,"Private Equity,Asset Tokenization,Securities",Compliance focused digital asset issuance,"Tokeny Solutions allows companies operating in private markets to benefit from using blockchain technology, while maintaining compliance and control. We enable our clients to increase efficiency in their operations, enforce global compliance obligations, enable automation and ultimately gain a competitive advantage.

We are the market-leader in delivering an institutional grade and modular end-to-end platform, allowing for the issuance, transfer and management of tradable digital assets/security tokens, such as tokenized loans, structured notes, equity and funds. Our solutions allow our customers to interact securely with the blockchain without the need for them to have any technical experience."
ADDX,Startup,https://addx.co/en/,2017,Capital Markets,"Private Equity,Asset Tokenization,Securities",Digital Securities Platform,"ADDX is your entry to private market investing. It is a private market investment platform that lets allows you to invest with as low as USD 10,000 in unicorns, pre-IPO companies, hedge funds, and other opportunities that traditionally require millions or more to enter. ADDX is regulated by the Monetary Authority of Singapore (MAS) and is open to all non-US individual accredited, corporate accredited, and institutional investors."
Harbor,Startup,https://harbor.com/,2017,Capital Markets,"Private Equity,Asset Tokenization,Securities",ACQUIRED,Harbor is a blockchain company in the security token space which provides a decentralized protocol in order to establish and maintain standardization for tokenized securities.
Securitize,Startup,https://securitize.io/,2017,Capital Markets,"Private Equity,Asset Tokenization,Securities",End to End asset management,"Securitize was born out of a mission to decrease friction and create liquidity in the private sector. After launching SPiCE Venture Capital (SPiCE VC), Carlos Domingo and his co-founders envisioned using blockchain technology as a way to provide automation and liquidity for limited partners, an asset class that had always been considered illiquid.

Once it was determined that no compliant technology existed for issuing and managing digital asset securities, Carlos and co-founder Jamie Finn decided to build the technology, and soon after, used it to successfully issue one of the world’s first tokenized venture capital funds, SPiCE VC. In late 2017, Carlos and Jamie, spun off the SPiCE VC technology as a new company, launching Securitize, Inc. with the goal of making all of the world’s assets digital."
Securrency,Startup,https://securrency.com/,2015,Capital Markets,"Private Equity,Asset Tokenization,Securities",Capital Markets Platform,"A financial markets infrastructure technology company focused on enhancing capital formation and stimulating global liquidity

Imagine a world of effortless compliance, borderless transactions, and newfound financial fluidity. That is the world Securrency is building today. We combine world-class institutional finance and state-of-the-art decentralized finance to unlock doors to the industry’s future. Securrency makes ""Yes"" a reality with ""next generation"" financial markets infrastructure technology."
Tokensoft,Startup,https://www.tokensoft.io/,2017,Capital Markets,"Private Equity,Asset Tokenization,Securities","Tokenization Platform & investor onboarding
","Create and issue digital assets, digital securities, and stable coins. Distribute and manage your assets through a single interface."
tZero,Startup,https://www.tzero.com/,2014,Capital Markets,"Private Equity,Asset Tokenization,Securities",Your marketplace to trade private digital securities,Digital securities are traditional securities enhanced with the benefits of blockchain and smart contract technology.
Everledger,Startup,https://everledger.io/,2016,Supply Chain & Logistics,Provenance,Blockchain-based Provenance Solutions,"Where supply chains meet the blockchain
Everledger is the digital transparency company, providing technology solutions to increase transparency in global supply chains. Our purpose is to contribute greater clarity and confidence in the marketplaces where transparency is a strategic imperative."
Breitling,Corporate,https://www.breitling.com/us-en/service/blockchain/,2020,Retail & E-Commerce,"Provenance,Identity & Credentials",Digital Certificates for Watches,"Breitling brings you a private and unique digital passport, a digital certificate of ownership securely linked to your Breitling watch through blockchain technology. (uses Arianee)"
Arianee,Consortium,https://www.arianee.org/,2017,Retail & E-Commerce,"Provenance,Identity & Credentials",web3 solutions for brands,The Arianee project is an independent & collaborative association that promotes & provides guidelines and tools to set a global standard for the digital certification of valuable products. These guidelines and tools are bundled under the name of the Arianee protocol.
DeBeers / Tracr,Corporate,https://www.tracr.com/,2018,Supply Chain & Logistics,"Provenance,Identity & Credentials",End-to-end tracing of diamonds,"The $5.1 billion (12-month sales) diamond producer has registered more than 400,000 stones, worth some $2 billion, on its Tracr blockchain, up 50% since January 2021. The platform records a diamond’s cut, color, clarity and karat, then tracks it along the supply chain. Users can instantly verify the rock’s origin and authenticity with a simple scan as it’s mined, cut, polished and sold—eliminating the need for costly and time-consuming mail-in verification. Tracr now has more than 30 industry participants, including Zales, Jared and Kay Jewelers. 

Update 2023: Data above is ancient. 2022 articles have better data, but still lacking. Interview needed!"
Nayms,Startup,https://nayms.io/,2019,Insurance,"Reinsurance,Marketplace",Insurance Marketplace,"A Platform for the Placement and Trade of the World’s Risk. Our traceable smart contract is built on a trustless system, meaning insurance brokers can place a contract between market participants in a limitless number of areas and share in the future value of such open trade."
Goldman Sachs,Corporate,https://www.goldmansachs.com/insights/pages/blockchain/,,"Capital Markets,Trading",Repo Trading,Repo Trading on JPMorgans Onyx,"2021: Earlier this year, Goldman Sachs co-led the first public digital issuance on Ethereum public blockchain for the European Investment Bank. Learn how the transaction worked and why it represents a potential sea change in capital markets.  "
JP Morgan,Corporate,https://www.jpmorgan.com/onyx/onyx-digital-assets.htm,2017,Capital Markets,"Repo Trading,Stablecoins",Intraday Repo Trading,"Onyx Digital Assets is a blockchain-based network that enables the processing, recording and Delivery-vs-Payment (DVP) exchange of digital assets across asset classes. The network provides access to JPM Coin which is leveraged to support the payment leg of Onyx Digital Assets transactions. Onyx Digital Assets provides a suite of services and potential benefits to clients:"
Aventus,Startup,https://www.aventus.io/,,Infrastructure,Scaling Solution,Enterprise grade 'Ethereum and Polkadot interoperability.',Aventus Network is a layer-2 solution that brings the scale and privacy of a permissioned blockchain with the security and interoperability of public blockchains — with none of the drawbacks of either.
Arbitrum,Startup,https://arbitrum.io/,2018,Infrastructure,Scaling Solution,Next generation layer 2 for Ethereum dApps,"Arbitrum is a suite of Ethereum scaling solutions that enables high-throughput, low cost smart contracts while remaining trustlessly secure. Arbitrum has three modes: AnyTrust Channels, AnyTrust Sidechains, and Arbitrum Rollup. The following documentation describes how to use Arbitrum Rollup, which is currently live on testnet and Mainnet. Whether you're a developer that just wants to start building or you're curious into digging deeper into the internals of Arbitrum and how it works, this site is the right place for you."
Aurora,Startup,https://aurora.dev/about,2021,Infrastructure,Scaling Solution,EVM Compatible Infrastructure Provider,"Aurora is an Ethereum Virtual Machine created by the team at the NEAR Protocol, delivering a turn-key solution for developers to operate their apps on an Ethereum-compatible, high-throughput, scalable and future-safe platform, with low transaction costs for their users."
Optimism,Startup,https://www.optimism.io/,2019,Infrastructure,Scaling Solution,Off-chain Scaling Solution,"Optimism is a Layer 2 scaling solution for Ethereum that can support all of Ethereum's Dapps. Instead of running all computation and data on the Ethereum network, Optimism puts all transaction data on-chain and runs computation off-chain, increasing Ethereum's transactions per second and decreasing transaction fees."
Celer,Startup,https://www.celer.network/,2018,"Payments,Infrastructure",Scaling Solution,"Inter-blockchain, Cross-layer platfrom","Celer Network was founded in 2018 by Computer Science PhDs from MIT, Princeton, UC Berkeley and UIUC with the goal to bring blockchain technology to mass adoption. In 2019, Celer Network launched the world’s first Generalized State Channel Network on mainnet that has allowed users on the same blockchain to interact with each other in real-time while maintaining scalability. As the blockchain ecosystem has progressed towards a more multi-chain world, Celer Network extends its core technology, specifically the State Guardian Network used in the Generalized State Channel Network, and transforms it into a generalized inter-blockchain and cross-layer communication platform. This pivot led to the creation of the Celer Inter-chain Messaging Framework (Celer IM), cBridge, and layer2.finance. Today, Celer Network has a strong global team pursuing the unchanged goal of pushing blockchain to mass adoption.

Celer uses smart contracts that are deployed on each chain paired with the State Guardian Network, a Tendermint-based blockchain, in order to enable seamless multi-blockchain interoperability. "
Immutable X,Startup,https://www.immutable.com/,2021,"Infrastructure,Gaming","Scaling Solution,NFTs",Layer 2 for NFTs,"Immutable X is the first layer two (L2) scaling solution for non-fungible tokens (NFTs) on Ethereum, with
instant trading, massive scalability and zero gas fees for minting and trading, all without compromising user
or asset security. Immutable X is the most technically advanced solution for NFT scaling ever built, developed
with StarkWare’s powerful STARK prover and rollup technology. The IMX token is the native ERC20 utility token
of the Immutable X protocol, which users can earn by conducting pro-network activities such as trading, and
which can be used to pay fees, perform governance or stake on the protocol."
Raiden Network,Startup,https://raiden.network/,2017,Payments,"Scaling Solution,Payment Solutions","Off-Chain Scaling Solution, State Channel","The Raiden Network is an off-chain scaling solution, enabling near-instant, low-fee and scalable payments. It’s complementary to the Ethereum blockchain and works with any ERC20 compatible token. The Raiden project is work in progress. Its goal is to research state channel technology, define protocols and develop reference implementations."
Starkware,Startup,https://starkware.co/about-us/,2018,Infrastructure,"Scaling Solution,Privacy & Security Solutions",Zero-knowledge Rollups,"StarkWare blockchain service improves scalability and privacy in blockchains using STARK technology which involves ZK-Starks, StarkEx, and StarkNet. Their contribution is much needed when it comes to fixing the high gas costs on Ethereum that plagues its users. You may already be familiar with SNARKs and ZK-SNARKs, but this article looks at StarkWare and STARKs, along with ZK-STARKs."
Matter Labs (zksync),Startup,https://zksync.io/,2014,Infrastructure,"Scaling Solution,Privacy & Security Solutions",Zero-knowledge Rollups,"zkSync uses advanced math to scale Ethereum in a fully trustless manner. ”It is a mission-driven project,” said Alex Gluchowski, Co-Founder and CEO of Matter Labs, “our long-term goal is to make self-sovereign participation in the digital economy — that is, maintaining true control over one’s digital assets — affordable for anyone in the world.”
zkSync fully inherits Ethereum’s security guarantees by adopting the ZK rollup architecture — the only blockchain scaling approach that relies on pure cryptography instead of collectively trusted validators, bridges, or watchers. ZK stands for Zero-Knowledge (Proofs), a family of sophisticated protocols for attestation of computational integrity.
zkSync v2 will support EVM-compatible, composable smart contracts. It is the first ever ZK rollup with a ported Solidity dapp live on its testnet.
“zkSync will enable Ethereum transactions at a much higher rate and lower gas fees than mainnet."
Espresso Systems,Startup,https://www.espressosys.com/,2022,"Privacy & Security,Infrastructure","Scaling Solution,Privacy & Security Solutions",Scaling and Privacy Solutions,"Bring low-fees and better privacy to your Web3 applications with Espresso, a high-throughput EVM-compatible blockchain.
"
DTCC,Corporate,https://www.dtcc.com/news/2021/november/09/dtcc-to-launch-platform-to-digitalize-and-modernize-private-markets,2020,Capital Markets,"Securities,Asset Tokenization,Clearing & Settlements",Private-Market Securities Platform,"COMPLEX - While the prototype mints tokens and records asset transfers on the Public Ethereum network, it maintains an independent digital record of security ownership and performs real-time compliance and suitability checks off-chain. "
BNY Mellon,Corporate,https://www.bnymellon.com/us/en/insights/all-insights/cryptocurrencies-the-new-market-structure.html,2021,Custody,Storage Solutions,Custody services for proffesional investors,"The Digital Asset unit will build on BNY Mellon's digital savvy and strong expertise in investment services and investment management. By leveraging advanced solutions such as blockchain, the technology behind digital assets, BNY Mellon will improve custody and other investment services."
Fidelity Digital Assets,Corporate,https://www.fidelitydigitalassets.com/,2018,Custody,"Storage Solutions,Investor services",Custody services,Enterprise-grade bitcoin custody
Metamask (Institutional),Startup,https://metamask.io/institutions/,2016,Infrastructure,Wallet,Cryptocurrency wallet,"MetaMask is a software cryptocurrency wallet used to interact with the Ethereum blockchain. It allows users to access their Ethereum wallet through a browser extension or mobile app, which can then be used to interact with decentralized applications. MetaMask is developed by ConsenSys Software Inc., a blockchain software company focusing on Ethereum-based tools and infrastructure."
0Chain (now Zus),Startup,https://0chain.net/,2017,"Data & Analytics,Infrastructure",Storage Solutions,Decentralized Storage Network,Züs is a high-performance storage platform that powers limitless applications. It's a new way to earn passive income from storage.
State Farm,Corporate,https://www.statefarm.com/,2016,Insurance,"Subrogation,Insurance Claims,Underwiting",Auto Claims Subrogation Solution,"Subrogation describes the right held by most insurance carriers to legally pursue a third party that caused a loss to an insured. Information about the claim is collected and the insurance companies negotiate the claim amount. If an agreement is reached, the  insurer of the at-fault party submits payment to the other insurer on an individual claim basis."
Komgo,Consortium,https://www.komgo.io/,2018,Trade Finance,Supply Chain Finance,Commodity Trade Finance Platform,"Komgo is an initiative and blockchain project lead by both the Komgo team and Consensys by building a blockchain-based platform for commodity trade finance. The use cases of the platform will allow banks, traders and all other participants in the network to transact off of its software, simplifying communication and operations through interoperability, improving optimization, data security and exchange. Its member-shareholders include banks, commodities traders, energy companies and inspection and certification companies. Their mission is to catalyse the commodity trade network by providing a fully decentralized interoperable blockchain solution to act as a data exchange for the industry.

Komgo is built on the Quorum blockchain. It has a proprietary document transfer system called Kite that allows secure transfer without revealing the contents to Komgo."
CONA,Corporate,https://www.conaservices.com/,2020,Supply Chain & Logistics,Supply Chain Management & Tracking Solutions,Bottlers Supply Chain Solution,"Coca-Cola Bottling Harbor

CONA now wants to extend the use-case from the internal network to a larger audience. Utilizing the Baseline Protocol, the goal is to establish a “Coca Cola Bottling Harbor”, enabling a low barrier network joining process for Coca-Cola Bottling suppliers. This not only streamlines the ability of internal bottlers-suppliers to provide products to the bottling network, but also external suppliers (e.g. raw materials vendors supplying cans and bottles) can benefit from an integrated, private, distributed integration network."
BP,Corporate,,,EnergyTech,Supply Chain Management & Tracking Solutions,Blockchain-based Oil & Gas Trading,RE - Canton is from DAML and is not EVM from what we can understand
Provide,Startup,https://provide.services/news/baselining-the-north-america-coca-cola-bottling-supply-chain,2017,Infrastructure,"Blockchain Development Services,Data Sharing","Infrastructure for synchronizing data
and tokenizing","In their 2023 update ""Today, we are revenue generating and have technology deployed in production. The business model is built on three revenue streams: infrastructure, commercial support and transactions."""
FedEx,Corporate,,,Supply Chain & Logistics,"Supply Chain Management & Tracking Solutions,Freighting",,
Telefónica (trust OS),Corporate,https://trustos.readthedocs.io/en/latest/,,"Supply Chain & Logistics,Infrastructure","Supply Chain Management & Tracking Solutions,Identity & Credentials,Asset Tokenization",Infrastrucutre Provider for Supply Chain Solutions,"Initially, TrustOS is available for deployment on any Hyperledger Fabric-based network and interacts with Ethereum (mainnet and testnet networks), Polygon (mainnet and testnet networks) and Alastria’s Network B (built on Hyperledger Besu). In the coming months support will be added for implementation in other technologies. We put a lot of effort into evolving the product 
"
Transmute,Startup,https://www.transmute.industries/,2017,Supply Chain & Logistics,"Supply Chain Management & Tracking Solutions,Identity & Credentials",Transactions with Decentralized Identity on Ethereum.,The trusted data exchange platform for global trade
Etherisc,Startup,https://etherisc.com/,2016,Insurance,"Travel Insurance,Insurance Claims",Decentralised Insurance Protocol,"Etherisc is an ecosystem to collectively build insurance products. Common infrastructure, product templates and insurance license-as-a-service make a platform that allows anyone to create their own insurance products.

--
Etherisc offers blockchain-enabled, affordable, and accessible crop insurance. Smallholder farmers are among the most food insecure people due to climate risks.

Agricultural insurance has proven to build the financial resilience of agricultural communities worldwide. However, even though farmers are willing to pay for insurance, they are unable to afford the high premiums that provide sufficient coverage.

Etherisc’s smart contract platform on the blockchain lowers transaction costs and makes payouts faster, affordable, and transparent. During an extreme weather event, policies are automatically triggered on the technology platform, which facilitates timely (24 hours to 5 days) and fair pay-outs."
Fruitlab,Startup,https://fruitlab.com/,2019,Media,Video streaming,Community platform for video streaming,fruitlab is a community platform for the billions of people in the world that enjoy smiling or gaming or smiling and gaming.
Taurus,Startup,https://www.taurushq.com/,2018,Infrastructure,"Asset Management,Custody,Asset Tokenization",Digital Asset Platform,"Taurus is a global-leader in enterprise-grade digital asset infrastructure with roots in Switzerland.
"
Public Mint,Startup,https://publicmint.com/,2020,"DeFi,Payments","Yield Farming,Storage Solutions",Stablecoin based bank account,"Public Mint is a complete platform for tokenized fiat, fully collateralized, regulated and FDIC-insured. Public Mint is comprised of a fiat-native blockchain, APIs, components, and an embeddable widget. It's open for anyone to build fiat-enabled applications - and start accepting credit cards, ACH, wire transfers and more. No bank accounts needed.

Public Mint is now focusing on the EARN program, bringing direct fiat liquidity to CeFi and DeFi, and exposing the opportunities they provide to the world at large, by creating earnings-bearing digital fiat currencies."
AON,Corporate,,2022,Insurance,Insurance Claims,Using Nayams and insuring custody,
Alastria,Consortium,https://alastria.io/en/,2017,Consultancy & Advisory,"Blockchain Development Services,Consultancy",Blockchain Consortium using Quorum,"At Alastria we energise and strengthen a multi-sector ecosystem that generates and shares knowledge, with a spirit of collaboration and a common interest: the development of blockchain technology. Alastria acts as a hub, connecting stakeholders and opening up spaces for using and co-creating platforms, resources, standards and guidelines related to distributed ledger technologies."
BRØK,Government,,,Capital Markets,Asset Tokenization,Blockchain for trust government data,"The Norwegian Government has announced the development of BRØK, a cap tables platform for unlisted companies on the public Ethereum network. With BRØK, you can easily share and update your company’s shareholder information using blockchain technology, making the process faster, more efficient, and more secure."
Bitbond,Startup,,,Capital Markets,"Asset Tokenization,Securities","Issuance, settlement and cusody of assets","Bitbond radically improves the issuance, settlement and custody of financial assets with the help of blockchain technology and tokenization."
Palm (eth sidechain),Startup,,,Infrastructure,"Scaling Solution,NFTs",Ethererum sidechain ecosystem for NFTs,"The Palm network is an Ethereum-compatible sidechain, built to serve as the foundation of a new scalable and sustainable ecosystem for NFTs. It is designed by, and for, Ethereum developers and features low gas costs and fast transaction finality. The Palm network uses the IBFT-2 consensus mechanism, a rotating Proof of Authority consensus method, in lieu of Proof of Work. This substantially reduces the computing power required and allows the Palm network to be 99% more energy-efficient than Proof of Work systems. To date, more than 3 million NFTs have been minted on the Palm network. There are currently over 1 million wallet addresses and more than 4 million transactions."
Fuse,Startup,,,Infrastructure,"Payments,Blockchain",Network for open source payments,"Infrastructure for Open Source Money
The most business and consumer-friendly blockchain ecosystem for mainstream adoption of web3 payments.

A fast, decentralised and low cost alternative to existing digital payments"
VMware,Corporate,,,Infrastructure,"Blockchain Development Services,BaaS",VMware Blockchain for Ethereum,"Developing ""VMware Blockchain for Ethereum"" which as per their recent annoucement has 150 + clients "
Pharmaledger Association,Consortium,,,HealthTech,"Healthcare Data,Record Keeping",Digital trust ecosystem for healthcare,"Our vision is that ParmaLedger will be a preferred way to connect, protect, empower, build and sustain digital healthcare in the future.
It will achieve this with a neutral, trusted, shared infrastructure for secure data exchange in healthcare – it takes an ecosystem!
Central to the problems of waste, inefficiency and fraud in healthcare is a lack of a trusted, interoperable, shared infrastructure to enable the movement of data between authorized partners in the value-chain. We aim to create a neutral, shared infrastructure, operated as a not-for-profit network to the mutual benefit of pharmaceutical and healthcare value-chain members. Once established, this network could support multiple use cases spanning the life cycle of pharmaceutical development, manufacturing, distribution, and consumption. The goal of the network would be to take on the problems that can’t be solved by one company alone – the problems that require an ecosystem-wide response. A sample of the real business challenges this network would address include:"
dclimate,Startup,,,Carbon Credits & ESG,Marketplace,"Decentralized Network
for Climate Data","dClimate is a chain-agnostic, decentralized climate information ecosystem that makes it easy for businesses and builders to find, access, and utilize essential information about our planet to better understand how weather and climate impacts our communities and build data-driven technology solutions for helping communities achieve climate resilience."
Daura,Consortium,,,Capital Markets,"Asset Tokenization,Securities",Digital equity platform for financing and investing,"""daura is a joint venture of the established and innovative Swiss partners Swisscom, SIX, Sygnum, BEKB, BDO, Luka Müller (MME) and Christian Wenger (Wenger & Vieli)."" daura has decided to enter the space of public, permissionless blockchain protocols essentially making the platform more aligned with web3 principles and making way for a multi-chain approach.

Rollups are a great way to scale up web3 applications. daura has evaluated zkSync as its preferred blockchain because zero-knowledge rollups are more technologically advanced than other layer-2 solutions, and zkSync 2.0 will be the first EVM-compatible ZK-rollup on mainnet."
RNS.ID,Startup,,,Identity Management & Verification,"Decentralized identifiers,Verifiable Credentials,Identity & Credentials",Web3 Legal ID,"The Palau Digital Residency Program offers global citizens the ability to have a legal government-issued ID from the comfort of their home, with both a physical ID card and a digitalized ID for connected services."
VAKT,Corporate,,,"Trade Finance,Supply Chain & Logistics","Commodities,Exchanges & Trading,Supply Chain Management & Tracking Solutions",Source of truth for commodity transactions,"VAKT creates a single source of truth for commodity transactions. 
We have created a single digital record where all of the details and stages of a trade can be agreed, recorded and seen, securely, by trading partners. This means partners can clearly see opportunities to improve trades in real time and avoid or mitigate potential risks. By connecting to VAKT your systems are automatically updated with the most up to date, accurate details of a trade. This removes the need for manual keying, delivering a more efficient data management process. -> Blockchain has been designed to give algorithmic guarantees of immutability and tamper resistance. A record of truth is written to the ledger creating an immutable audit trail."
Giveth,Startup,,,Other,Donations,Rewarding postitive change using Blockchain,Welcome to the Future of Giving Get rewarded for giving to for-good projects with zero added fees.
provenance.org/,Startup,,,Retail & E-Commerce,"Provenance,Identity & Credentials",Prove proof of claims via Blockchain,"Attract and convert more eco-conscious shoppers. Wherever you are on your sustainability journey, win more customers by showing up in values-led shopper journeys and improving your product page conversion."
devery.io,Startup,,,Retail & E-Commerce,"Provenance,Identity & Credentials",Digital passport for products,Track and verify your products. A decentralized protocol for developers to integrate blockchain verification technology.
tor.us,Startup,,,"Identity Management & Verification,Infrastructure","Wallet,Authentication,Custody",Web2 & Web3 login Infrastructure,To make digital ownership and identity human-centric and accessible to everyone
"circularise
",Startup,,,Supply Chain & Logistics,"Supply Chain Management & Tracking Solutions,Provenance",End-to-end supply chain traceability,Circularise is the leading software platform that provides end-to-end traceability and secure data exchange for industrial supply chains.  Circularise offers multiple software solutions for supply chain traceability. We have MassBalancer to automate mass balance bookkeeping and Digital Product Passports for end-to-end batch traceability.
klimadao.finance/,Startup,,,EnergyTech,Carbon credits,Digital currency backed by carbon assets,"Fight climate change and earn rewards with KLIMA, a digital currency backed by real carbon assets. KlimaDAO is the center of a new green economy. Built on the energy efficient Polygon network, KlimaDAO uses a stack of technologies to reduce market fragmentation and accelerate the delivery of climate finance to sustainability projects globally."
morpheus.network,Startup,,,Supply Chain & Logistics,Supply Chain Management & Tracking Solutions,Blockchain powered supply chain,"Morpheus.Network uses blockchain technology to create a transparent, and efficient platform to streamline and automate the global supply chain. We utilize public and permissioned blockchains as well as sidechains to utilize blockchain's decentralized advantages while maintaining the security and privacy of user’s data. At Morpheus.Network, we are intensely focused on helping companies and Government organizations remove barriers to optimize and automate their global supply chain operations. Our team and global network of partners has extensive experience in implementing cutting-edge solutions leveraging our breakthrough supply chain platform. We help clients maximize revenue through digitization and process automation, protecting sensitive data, and untangling complex issues with the legacy supply chain system while delivering effective, equitable, and efficient global trade solutions.

Morpheus.Network is intensely focused on helping companies and government organizations eliminate inefficiencies and remove barriers to optimize and automate enterprise supply chain operations. Their multi-award winning supply chain middleware platform leverages transformational digital technologies such as ML/AI, IoT and Blockchain and has over 150 integrations with leading companies, including SAP, DHL, Fedex, Cargowise, Telefonica, Marsh, Swift and more! Morpheus.Network helps clients maximize revenue through digitization and process automation, protecting sensitive data, and untangling complex issues with the legacy supply chain system while delivering effective, equitable, and efficient global trade solutions."
rivendell.network,Startup,,,"Telecom,Payments","Payments,Blockchain",Telecom Mobile Financial Services 2.0,"Scalable Blockchain Financial Services for Mobile Networks, Rivendell is an open Ethereum sidechain run, validated, and secured by Mobile Network Operators."
serto.id,Startup,,,Identity Management & Verification,"Decentralized identifiers,Verifiable Credentials,Identity & Credentials",Tools for Decentralized identity,Serto provides easy-to-use decentralized identity and connected data solutions for enterprises
spruceid.com/ssx,Startup,,,Identity Management & Verification,"Authentication,Reputation,Decentralized identifiers,Identity & Credentials",Streamlined web3 authentication & idenity,"Self-Sovereign Anything - With SSX, we are enabling the Bring Your Own Data Revolution, starting with streamlined web3 authentication. SSX is the entry point, and it's just the beginning."
molecule.to,Startup,,,HealthTech,"Pharmaceuticals,Funding",Democratizing biopharma research and development,"Molecule is a decentralized biotech protocol, building a web3 marketplace for research-related IP.  Our platform and scalable framework for biotech DAOs connects academics and biotech companies with quick and easy funding, while enabling patient, researcher, and investor communities to directly govern and own research-related IP. The future of life science research will be driven by open, liquid markets for intellectual property powered by web3 technology. We attach pre-screened projects and IP to NFTs, making them liquid and transferable."
mygateway.xyz,Startup,,,"Identity Management & Verification,Infrastructure","Decentralized identifiers,Verifiable Credentials,Identity & Credentials","Issue, manage, and consume verifiable credentials.","Gateway is a decentralized protocol for creating, consuming, and displaying verifiable credentials to serve as a basis for an interconnected web and portable reputation. 

This is why we are building Gateway, a decentralized credentialing protocol for organizations/applications and individuals to issue, receive, and consume verified credentials. Applications and individuals using Gateway can natively issue custom credentials based on whatever parameters they decide - whether it be on their application, off-chain from sources like Twitter, or even based on on-chain conditions. Others can then consume this information to build more custom credentials, scoring models, or access points. Now teams will be able to build more context around their community members, customers, and even employees. This will lead to a better experience on dApps, more meritocracy in core functions like governance and hiring, and hundreds of applications we at Gateway have not even thought of yet.   "
ANSAcheck,Foundation,,,Media,Provenance,Origin of news stories,"The leading Italian news agency, Agenzia Nazionale Stampa Associata (ANSA), which represents 24 major Italian newspapers and distributes over 3,000 news articles daily, announced in early April that it has begun using a blockchain-based solution run on the Ethereum public blockchain to verify the origin of news stories that appear on ANSA platforms or are distributed to other sites, such as social media pages. Stories actually originating from the ANSA platform (without modification) now bear a green digital “ANSAcheck” certificate that informs readers that the preceding story is a verified ANSA news article and is not manipulated or spoofed content or a story that has been altered to spread disinformation. (An image of the ANSAcheck stamp is below; for an example of the certificate on the Internet, look for the digital stamp at the end of this ANSA story)."
Verizon,Corporate,,,Media,Provenance,Standard for Transparency news releases,We believe in the sanctity of facts and data. And that inspired us to set new benchmarks for corporate newsrooms. We built a blockchain-based tool to highlight the importance of trust and integrity in the business world. Our Full Transparency initiative sends a clear message that transparency and accountability should be top priorities for all organizations. It should also speak to their entire audience base—from employees and customers to investors and journalists.
CargoX,Startup,,,Supply Chain & Logistics,"Supply Chain Management & Tracking Solutions,Provenance",Platform for Blockchain Document Transfer,"CargoX Ltd is a global company specializing in document transfer solutions, based on blockchain transaction and an ownership validation platform. The core team of founders brings together more than 100 years of experience in the logistics, banking, programming, IT and blockchain industries. Today, the company is building a network of partnerships with leading regional and global manufacturers and service providers, and team members are actively partaking in standard-forming bodies to ensure industry-wide interoperability. CargoX’s in-solution development focus is on providing direct and quick benefits for users, providing clean workflows, a refined user experience, and future-proof, open architecture. CargoX is not a competitor to logistics companies, as it brings value to the market and helps connect supply chain participants. Companies using the CargoX platform solution gain an immediate competitive advantage and improve profitability."
Prescryptive,Startup,,,HealthTech,"Pharmaceuticals,Supply Chain Management & Tracking Solutions",Connecting Healthcare providers with consumers,"Mobile-first design. Blockchain power. Cloud scale. Prescryptive’s Health Intelligence Platform powers the most personal, most powerful, and most compliant healthcare solutions available."
RealT,Startup,,,Real Estate,Asset Tokenization,Fractional and frictionless real estate investing,"RealToken provides investors with a simple, intelligent, and user-friendly method to buy into fractional, tokenized properties, leveraging the U.S. legal system and the permissionless, unrestricted token issuance of Ethereum. Investing with RealT means low maintenance property ownership, access to cash flows related to the property (e.g., rent), and frictionless ownership transactions via RealTokens."
findora.org,Startup,,,Infrastructure,"Scaling Solution,Privacy & Security Solutions",Privacy layer for Smart contract Blockchains,"Findora is a fully confidential yet auditable, high-throughput, and scalable public financial infrastructure. The cryptographically transparent financial ledger at Findora’s core enables efficient, accessible, and transparent financial services."
